i_episode: 240,	 reward_accu: 144, 	 action_length: 1492,	 running times: 1492
i_episode: 241,	 reward_accu: 144, 	 action_length: 1401,	 running times: 1401
i_episode: 242,	 reward_accu: 144, 	 action_length: 1517,	 running times: 1517
i_episode: 243,	 reward_accu: 144, 	 action_length: 2736,	 running times: 2736
i_episode: 244,	 reward_accu: 144, 	 action_length: 1464,	 running times: 1464
i_episode: 245,	 reward_accu: 144, 	 action_length: 1488,	 running times: 1488
i_episode: 246,	 reward_accu: 144, 	 action_length: 1482,	 running times: 1482
i_episode: 247,	 reward_accu: 144, 	 action_length: 1439,	 running times: 1439
i_episode: 248,	 reward_accu: 144, 	 action_length: 1478,	 running times: 1478
i_episode: 249,	 reward_accu: 144, 	 action_length: 1512,	 running times: 1512
i_episode: 250,	 reward_accu: 144, 	 action_length: 1530,	 running times: 1530
i_episode: 251,	 reward_accu: 144, 	 action_length: 1497,	 running times: 1497
i_episode: 252,	 reward_accu: 144, 	 action_length: 1511,	 running times: 1511
i_episode: 253,	 reward_accu: 144, 	 action_length: 1523,	 running times: 1523
i_episode: 254,	 reward_accu: 144, 	 action_length: 1498,	 running times: 1498
i_episode: 255,	 reward_accu: 144, 	 action_length: 1461,	 running times: 1461
i_episode: 256,	 reward_accu: 144, 	 action_length: 1510,	 running times: 1510
i_episode: 257,	 reward_accu: 144, 	 action_length: 1526,	 running times: 1526
i_episode: 258,	 reward_accu: 144, 	 action_length: 1501,	 running times: 1501
i_episode: 259,	 reward_accu: 144, 	 action_length: 1481,	 running times: 1481
i_episode: 260,	 reward_accu: 144, 	 action_length: 1524,	 running times: 1524
i_episode: 261,	 reward_accu: 144, 	 action_length: 1463,	 running times: 1463
i_episode: 262,	 reward_accu: 144, 	 action_length: 1416,	 running times: 1416
i_episode: 263,	 reward_accu: 144, 	 action_length: 1467,	 running times: 1467
i_episode: 264,	 reward_accu: 144, 	 action_length: 1510,	 running times: 1510
i_episode: 265,	 reward_accu: 144, 	 action_length: 1468,	 running times: 1468
i_episode: 266,	 reward_accu: 144, 	 action_length: 1402,	 running times: 1402
i_episode: 267,	 reward_accu: 144, 	 action_length: 1595,	 running times: 1595
i_episode: 268,	 reward_accu: 144, 	 action_length: 1438,	 running times: 1438
i_episode: 269,	 reward_accu: 144, 	 action_length: 1415,	 running times: 1415
i_episode: 270,	 reward_accu: 144, 	 action_length: 1463,	 running times: 1463
i_episode: 271,	 reward_accu: 144, 	 action_length: 1551,	 running times: 1551
i_episode: 272,	 reward_accu: 144, 	 action_length: 1538,	 running times: 1538
i_episode: 273,	 reward_accu: 144, 	 action_length: 1448,	 running times: 1448
[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 13, 1, 4, 35, 7, 1, 9, 16, 7, 25, 18, 45, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 48, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 42, 144, 78, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 66, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 120, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144]
